address,min_ms,max_ms,avg_ms,latitudes,longitudes,distance_km
139.60.160.88,22.552425,23.202636,22.920415,40.7126,-74.0066,1089.9548150172805
102.215.35.132,220.878933,300.152335,221.89476,-1.2841,36.8155,12889.225564073811
193.106.164.10,103.988911,105.088412,104.253942,55.6759,12.5655,6925.643926031859
193.106.166.153,103.949521,109.55851,104.285627,56.2639,9.50179,6728.4678591581205
95.211.20.80,101.934921,102.858412,102.121787,52.3907,4.66555,6663.5194930752905
185.216.141.19,94.538029,114.197345,106.53194,52.3759,4.8975,6678.134022537599
178.162.166.76,95.049015,95.785548,95.286981,52.3676,4.90414,6678.9719353554865
104.245.79.230,37.118677,47.011808,44.11008,35.0763,-101.8349,1438.341181348095
23.19.208.9,7.534697,8.343133,7.701299,41.8732,-88.0002,182.2623368036994
209.58.159.68,25.4546,26.157145,25.724553,32.7908,-96.8336,1226.5027537079282
178.162.226.176,106.898135,107.95395,107.333574,50.097,8.63004,7030.279392922892
185.118.248.162,120.014903,121.123564,120.192918,55.8472,12.4349,6908.633547410619
82.197.188.129,105.530069,105.973842,105.69813,47.2576,8.6119,7199.037323892319
185.245.99.75,101.504268,112.63838,101.840666,50.1109,8.68213,7032.612145953958
95.143.54.63,107.038282,107.898763,107.364405,47.3934,8.5163,7184.759410359044
93.177.80.27,106.660425,107.089778,106.815368,59.2387,18.2266,6992.28057902649
45.154.255.51,112.312939,116.450258,112.593191,59.3287,18.0717,6979.372489254818
81.17.61.145,94.054528,94.666199,94.319767,51.5182,-0.0905412,6418.135438858912
104.244.76.191,105.614663,106.376088,105.755368,49.7866,6.0753,6891.947334770929
195.95.177.10,148.387874,166.370103,159.328619,52.3759,4.8975,6678.134022537599
185.15.210.116,93.316114,110.923399,102.878213,52.5378,5.6966,6716.881406306549
208.110.65.2,12.786906,13.438045,12.98834,39.1027,-94.5778,671.1139264236415
108.62.52.129,23.571745,24.22807,23.802014,40.7126,-74.0066,1089.9548150172805
23.81.207.31,44.660584,45.309707,44.925492,33.5111,-111.9075,2340.287664994815
